communication_event_id,client_id,employee_id,document_request_id,event_timestamp,channel,event_type,sender_side,topic,urgency,response_sla_hours
COM000000001,CLI000000002,EMP000000004,DRQ000000001,2023-01-25T08:09:10,EMAIL,DOCUMENT_REQUEST,ACCOUNTING_FIRM,Missing accounting documents,NORMAL,48
COM000000002,CLI000000002,EMP000000004,DRQ000000001,2023-01-30T17:03:43,EMAIL,AUTOMATED_REMINDER,ACCOUNTING_FIRM,Missing accounting documents,NORMAL,48
COM000000003,CLI000000002,EMP000000004,DRQ000000001,2023-02-02T09:17:28,EMAIL,CLIENT_RESPONSE,CLIENT,Missing accounting documents,NORMAL,48
COM000000004,CLI000000004,EMP000000004,DRQ000000002,2023-01-25T18:11:50,EMAIL,DOCUMENT_REQUEST,ACCOUNTING_FIRM,Missing accounting documents,NORMAL,48
COM000000005,CLI000000004,EMP000000004,DRQ000000002,2023-01-30T13:32:14,EMAIL,AUTOMATED_REMINDER,ACCOUNTING_FIRM,Missing accounting documents,NORMAL,48
COM000000006,CLI000000004,EMP000000004,DRQ000000002,2023-02-04T09:12:50,EMAIL,CLIENT_RESPONSE,CLIENT,Missing accounting documents,NORMAL,48
COM000000007,CLI000000005,EMP000000004,DRQ000000003,2023-01-25T14:15:28,EMAIL,DOCUMENT_REQUEST,ACCOUNTING_FIRM,Missing accounting documents,HIGH,48
COM000000008,CLI000000005,EMP000000004,DRQ000000003,2023-01-30T12:21:19,EMAIL,AUTOMATED_REMINDER,ACCOUNTING_FIRM,Missing accounting documents,HIGH,48
COM000000009,CLI000000005,EMP000000004,DRQ000000003,2023-02-08T17:46:36,EMAIL,CLIENT_RESPONSE,CLIENT,Missing accounting documents,HIGH,48
COM000000010,CLI000000006,EMP000000005,DRQ000000004,2023-01-25T16:31:11,PORTAL,DOCUMENT_REQUEST,ACCOUNTING_FIRM,Missing accounting documents,HIGH,24
COM000000011,CLI000000006,EMP000000005,DRQ000000004,2023-01-30T16:41:03,PORTAL,AUTOMATED_REMINDER,ACCOUNTING_FIRM,Missing accounting documents,HIGH,24
COM000000012,CLI000000006,EMP000000005,DRQ000000004,2023-02-14T16:02:53,PORTAL,CLIENT_RESPONSE,CLIENT,Missing accounting documents,HIGH,24
COM000000013,CLI000000008,EMP000000005,DRQ000000005,2023-02-22T13:33:33,EMAIL,DOCUMENT_REQUEST,ACCOUNTING_FIRM,Missing accounting documents,HIGH,24
COM000000014,CLI000000008,EMP000000005,DRQ000000005,2023-02-27T12:10:23,EMAIL,AUTOMATED_REMINDER,ACCOUNTING_FIRM,Missing accounting documents,HIGH,24
COM000000015,CLI000000008,EMP000000005,DRQ000000005,2023-03-08T10:47:49,EMAIL,CLIENT_RESPONSE,CLIENT,Missing accounting documents,HIGH,24
